,Date ,Open ,High ,Low ,Close ,Shares Traded ,Turnover
32,14-Feb-14,6023.75,6056.4,5984.6,6048.35,140204479,5539.7
33,17-Feb-14,6057.1,6080.65,6038.3,6073.3,108492457,4455.65
34,18-Feb-14,6071.3,6141.7,6066.8,6127.1,126639146,4592.38
35,19-Feb-14,6132.05,6160.35,6125.75,6152.75,95248833,3735.52
36,20-Feb-14,6127.15,6129.1,6086.45,6091.45,132108928,4344.77
37,21-Feb-14,6108.3,6159.65,6108,6155.45,112596128,4001.93
38,24-Feb-14,6140.95,6191.85,6130.8,6186.1,144877047,4424.81
39,25-Feb-14,6205.7,6216.85,6176.6,6200.05,146259298,4782.95
40,26-Feb-14,6202.45,6245.95,6202.1,6238.8,181663811,6641.33
41,28-Feb-14,6228.45,6282.7,6228.1,6276.95,209914263,7869.42
42,03-Mar-14,6264.35,6277.75,6212.25,6221.45,144562338,5040.12
43,04-Mar-14,6216.75,6302.15,6215.7,6297.95,166818924,5550.29
44,05-Mar-14,6328.45,6336.25,6287.8,6328.65,160300066,5754.58
45,06-Mar-14,6344.75,6406.6,6339.7,6401.15,180731810,5844.96
46,07-Mar-14,6413.95,6537.8,6413.55,6526.65,284922346,11368.15
47,10-Mar-14,6491.7,6562.2,6487.35,6537.25,242143703,9992.74
48,11-Mar-14,6537.35,6562.85,6494.25,6511.9,238994883,8268.67
49,12-Mar-14,6497.5,6546.15,6487.3,6516.9,174977068,6176.54
50,13-Mar-14,6491.75,6561.45,6476.65,6493.1,167858387,8356.1
51,14-Mar-14,6447.25,6518.45,6432.7,6504.2,177336088,7114.55
52,18-Mar-14,6532.45,6574.95,6497.65,6516.65,179308616,7268.52
53,19-Mar-14,6530,6541.2,6506,6524.05,172464722,7666.24
54,20-Mar-14,6508.35,6523.65,6473.25,6483.1,141984189,6280.76
55,21-Mar-14,6515.2,6522.9,6485.7,6493.2,189854420,8841.94
56,22-Mar-14,6497.8,6502.65,6481.35,6494.9,9774392,373.66
57,24-Mar-14,6510.5,6591.5,6510.5,6583.5,158395722,6633.77
58,25-Mar-14,6550.1,6595.55,6544.85,6589.75,168125064,6475.61
59,26-Mar-14,6615.65,6627.45,6580.6,6601.4,186570474,7046.34
60,27-Mar-14,6613.1,6673.95,6599.5,6641.75,312383468,12924.37
61,28-Mar-14,6673.05,6702.6,6643.8,6695.9,134114378,6862.55
62,31-Mar-14,6723.15,6730.05,6662.4,6704.2,177579421,7743.3
63,01-Apr-14,6729.5,6732.25,6675.45,6721.05,147136671,7174.14
64,02-Apr-14,6757.6,6763.5,6723.6,6752.55,173335875,8007.75
65,03-Apr-14,6772.05,6776.75,6696.9,6736.1,197546648,7738.58
66,04-Apr-14,6741.85,6741.85,6685.15,6694.35,155127592,6676.88
67,07-Apr-14,6694.25,6725.15,6650.4,6695.05,133947319,6707.01
68,09-Apr-14,6722,6808.7,6705.1,6796.2,169794626,8892.66
69,10-Apr-14,6803.05,6819.05,6777.3,6796.4,191125947,9079.6
70,11-Apr-14,6758.35,6789.35,6743.15,6776.3,140734579,7463.19
71,15-Apr-14,6792.7,6813.4,6711.75,6733.1,123197822,7100.26
72,16-Apr-14,6727.25,6748.65,6665.15,6675.3,119768833,6168.64
73,17-Apr-14,6695.45,6783.05,6684.4,6779.4,131488368,6952.58
74,21-Apr-14,6789.25,6825.45,6786.9,6817.65,111840313,5711.98
75,22-Apr-14,6822.9,6838,6806.25,6815.35,114693049,5636.78
76,23-Apr-14,6823.25,6861.6,6820.75,6840.8,182972972,9247.25
77,25-Apr-14,6855.8,6869.85,6772.85,6782.75,154320793,8021.33
78,28-Apr-14,6778.55,6786.25,6750.3,6761.25,118162668,6297.18
79,29-Apr-14,6769,6779.7,6708.65,6715.25,115511531,5459.34
80,30-Apr-14,6724.95,6780.15,6656.8,6696.4,161106871,7066.78
81,02-May-14,6709.95,6737.65,6689.5,6694.8,114275323,5030.42
82,05-May-14,6681.65,6741.05,6680.45,6699.35,104989653,4881.32
83,06-May-14,6719.25,6743.45,6701.9,6715.3,88291413,4168.72
84,07-May-14,6708.6,6718.75,6642.9,6652.55,114099791,6513.29
85,08-May-14,6669.9,6688.4,6638.55,6659.85,101549745,5413.39
86,09-May-14,6654.15,6871.35,6652.15,6858.8,166442779,8027.14
87,12-May-14,6863.4,7020.05,6862.9,7014.25,157725090,8475.17
88,13-May-14,7080,7172.35,7067.15,7108.75,232221733,10573.11
89,14-May-14,7112,7142.25,7080.9,7108.75,177204155,9395.8
90,15-May-14,7111.3,7152.55,7082.55,7123.15,186848485,8947.95
91,16-May-14,7270.2,7563.5,7130.65,7203,393156741,21057.07
92,19-May-14,7276.85,7291.1,7193.55,7263.55,316246557,15228.6
93,20-May-14,7309.95,7353.65,7247.7,7275.5,255333095,11139.51
94,21-May-14,7274.85,7287.15,7206.7,7252.9,203137825,9544.12
95,22-May-14,7289.95,7319.55,7258.15,7276.4,240943899,10104.55
96,23-May-14,7306.5,7381,7293.9,7367.1,259638086,12002.13
97,26-May-14,7428.75,7504,7269.05,7359.05,273236339,13203.73
98,27-May-14,7363.1,7372.95,7274.75,7318,168599276,7931.22
99,28-May-14,7324.95,7344.75,7302.6,7329.65,175595609,8929.71
100,29-May-14,7316.6,7325.4,7224.4,7235.65,241115398,13385.17
101,30-May-14,7254.85,7272.5,7118.45,7229.95,312152571,13837.29
102,02-Jun-14,7264.05,7368.6,7239.5,7362.5,169891181,7833.43
103,03-Jun-14,7375.35,7424.95,7342.15,7415.85,234680218,10354.94
104,04-Jun-14,7417.55,7433.3,7391.35,7402.25,204592241,8913.89
105,05-Jun-14,7399.75,7484.7,7360.5,7474.1,250660653,11574.51
106,06-Jun-14,7521.5,7592.7,7497.65,7583.4,248397596,12322.96
107,09-Jun-14,7621.65,7673.7,7580.25,7654.6,231879926,10866.56
108,10-Jun-14,7679.05,7683.2,7579.3,7656.4,188669182,9475.21
109,11-Jun-14,7672.4,7700.05,7589.05,7626.85,186182446,10472.71
110,12-Jun-14,7641.3,7658,7593.8,7649.9,148207144,8187.49
111,13-Jun-14,7668.2,7678.5,7525.35,7542.1,174522339,11254.75
112,16-Jun-14,7534.8,7548.6,7487.55,7533.55,155377979,8449.27
113,17-Jun-14,7525.05,7637.6,7509.25,7631.7,157961787,8704.2
114,18-Jun-14,7636.05,7663,7515.5,7558.2,165078941,8963.97
115,19-Jun-14,7580.05,7606.45,7502.55,7540.7,148852437,8115.36
116,20-Jun-14,7543.3,7560.55,7497.3,7511.45,124132217,6801.49
117,23-Jun-14,7514,7534.8,7441.6,7493.35,127404790,6543.64
118,24-Jun-14,7515.2,7593.35,7515.2,7580.2,137002483,7146.44
119,25-Jun-14,7588.55,7589.25,7557.05,7569.25,114968325,6198.93
120,26-Jun-14,7554.1,7570.2,7481.3,7493.2,171676960,9190.64
121,27-Jun-14,7514.2,7538.75,7482.3,7508.8,126673395,6688.8
122,30-Jun-14,7534.05,7623.65,7531.6,7611.35,152303166,7887.37
123,01-Jul-14,7629,7649.5,7618.15,7634.7,139431498,6983.63
124,02-Jul-14,7683.05,7732.4,7677.3,7725.15,136324329,7363.75
125,03-Jul-14,7734.35,7754.65,7706.8,7714.8,133755275,7320.09
126,04-Jul-14,7718.1,7758,7661.3,7751.6,113070488,5863.82
127,07-Jul-14,7780.4,7792,7755.1,7787.15,173926355,8925.04
128,08-Jul-14,7804.05,7808.85,7595.9,7623.2,180646306,9002.25
129,09-Jul-14,7637.95,7650.1,7551.65,7585,168348843,8176.28
130,10-Jul-14,7589.5,7731.05,7479.05,7567.75,258385778,11431.68
131,11-Jul-14,7584.1,7625.85,7447.2,7459.6,187592951,8983.29
132,14-Jul-14,7469,7478.45,7422.15,7454.15,135231220,6659.48
133,15-Jul-14,7491.3,7534.9,7459.15,7526.65,122068670,6124.15
134,16-Jul-14,7564.15,7640.1,7532.45,7624.4,167973291,8186.24
135,17-Jul-14,7612.7,7655.65,7612.7,7640.45,141612002,6753.11
136,18-Jul-14,7630.25,7685,7595.5,7663.9,134603073,6903.7
137,21-Jul-14,7701.65,7722.1,7674,7684.2,105401279,5794.45
138,22-Jul-14,7708.2,7773.85,7704.8,7767.85,120081148,6494.69
139,23-Jul-14,7794.9,7809.2,7752.9,7795.75,122119113,7062.52
140,24-Jul-14,7796.25,7835.65,7771.65,7830.6,117608370,6271.45
141,25-Jul-14,7828.2,7840.95,7748.6,7790.45,153936037,7827.61
142,28-Jul-14,7792.9,7799.9,7722.65,7748.7,116534670,6107.78
143,30-Jul-14,7746.2,7798.7,7707.6,7791.4,178110084,10175.5
144,31-Jul-14,7784.65,7791.85,7711.15,7721.3,208857257,11718.26
145,01-Aug-14,7662.5,7716.7,7593.9,7602.6,181070405,9796.7
146,04-Aug-14,7639.55,7694.8,7622.05,7683.65,137040004,7495.07
147,05-Aug-14,7706.65,7752.45,7638.05,7746.55,128238762,6772.55
148,06-Aug-14,7726.15,7740.95,7658.95,7672.05,116361342,6905.9
149,07-Aug-14,7651.15,7708.95,7630.4,7649.25,116792296,6030.02
150,08-Aug-14,7588.7,7592.45,7540.1,7568.55,118429659,6283.56
151,11-Aug-14,7619.85,7635.55,7598.6,7625.95,106972573,5535.13
152,12-Aug-14,7688.8,7735.75,7654.8,7727.05,120611660,6181.17
153,13-Aug-14,7717.3,7757.1,7695.7,7739.55,154083920,8030.41
154,14-Aug-14,7756.15,7796.7,7739.1,7791.7,127328105,6745.33
155,18-Aug-14,7785.25,7880.5,7779.2,7874.25,126742201,6892.25
156,19-Aug-14,7901,7918.55,7881.15,7897.5,140615189,7928.8
157,20-Aug-14,7915.8,7922.7,7864.05,7875.3,117321408,6234.79
158,21-Aug-14,7875.35,7919.65,7855.95,7891.1,115221672,7502.01
159,22-Aug-14,7904.55,7929.05,7900.05,7913.2,104074858,7088.03
160,25-Aug-14,7931.75,7968.25,7897.95,7906.3,118465594,6152.32
161,26-Aug-14,7874.5,7915.45,7862.45,7904.75,142829732,6735.18
162,27-Aug-14,7933.9,7946.85,7916.55,7936.05,119961224,6261.16
163,28-Aug-14,7942.25,7967.8,7939.2,7954.35,189698796,10417.14
164,01-Sep-14,7990.35,8035,7984,8027.7,139328061,6944.65
165,02-Sep-14,8038.6,8101.95,8036.55,8083.05,134897503,7143.64
166,03-Sep-14,8110.85,8141.9,8092.25,8114.6,150726992,8444.29
167,04-Sep-14,8114.2,8114.8,8060.9,8095.95,141280504,6925.82
168,05-Sep-14,8099.9,8122.7,8049.85,8086.85,125981094,6559.7
169,08-Sep-14,8132.95,8180.2,8126.15,8173.9,120694390,6623.08
170,09-Sep-14,8161.9,8174.55,8126.5,8152.95,104740540,5364.95
171,10-Sep-14,8135.55,8135.75,8082.1,8094.1,107064326,5561.6
172,11-Sep-14,8115.15,8127.95,8057.3,8085.7,122818159,6492.35
173,12-Sep-14,8087.05,8114.3,8071.6,8105.5,111444349,6156.73
174,15-Sep-14,8070.35,8077.3,8030,8042,96502556,5387.06
175,16-Sep-14,8036.6,8044.9,7925.15,7932.9,127952551,6647.49
176,17-Sep-14,7971.5,7990.65,7936.95,7975.5,123722390,6689.37
177,18-Sep-14,7950.65,8120.85,7939.7,8114.75,116930309,6891.09
178,19-Sep-14,8129.4,8160.9,8105.35,8121.45,161284509,8957.42
179,22-Sep-14,8084.45,8159.9,8064.8,8146.3,105507265,5710.43
180,23-Sep-14,8144.4,8159.75,8008.1,8017.55,140780912,7947.61
181,24-Sep-14,8015.55,8042.05,7950.05,8002.4,182208501,7981.87
182,25-Sep-14,8003.3,8019.3,7877.35,7911.85,231899016,11692.69
183,26-Sep-14,7885.85,7993.3,7841.8,7968.85,147835866,8247.78
184,29-Sep-14,7978.45,7991.75,7934.7,7958.9,97267975,5089.35
185,30-Sep-14,7948.8,8030.9,7923.85,7964.8,141142071,7467.66
186,01-Oct-14,7960.5,7977.5,7936.7,7945.55,112997913,5979.61
187,07-Oct-14,7897.4,7943.05,7842.7,7852.4,148199508,7982.75
188,08-Oct-14,7828.75,7869.9,7815.75,7842.7,135914083,7408.61
189,09-Oct-14,7886.5,7972.35,7886.5,7960.55,123767811,6797.45
190,10-Oct-14,7911,7924.05,7848.45,7859.95,142926893,8473.9
191,13-Oct-14,7831,7901.15,7796,7884.25,118781369,6584.44
192,14-Oct-14,7923.25,7928,7825.45,7864,225472732,7709
193,16-Oct-14,7837.3,7893.9,7729.65,7748.2,213529479,9087.06
194,17-Oct-14,7733.75,7819.2,7723.85,7779.7,177623196,9626.9
195,20-Oct-14,7896.95,7905.95,7856.95,7879.4,176171562,8357.41
196,21-Oct-14,7906.15,7936.6,7874.35,7927.75,163403385,8432.94
197,22-Oct-14,7997.8,8005,7974.55,7995.9,151104463,7301.77
198,23-Oct-14,8027.7,8031.75,8008.85,8014.55,19640498,915.37
199,27-Oct-14,8064.35,8064.4,7985.65,7991.7,132824881,6511.8
200,28-Oct-14,8002.4,8037.8,7995.05,8027.6,124058566,6993.84
201,29-Oct-14,8077.05,8097.95,8052.25,8090.45,148313096,7406
202,30-Oct-14,8085.2,8181.55,8085.2,8169.2,205666559,11023.46
203,31-Oct-14,8200.8,8330.75,8198.05,8322.2,176165086,9450.53
204,03-Nov-14,8348.15,8350.6,8297.65,8324.15,141090166,7439.54
205,05-Nov-14,8351.25,8365.55,8323.5,8338.3,161614922,9021.74
206,07-Nov-14,8331.85,8360.35,8290.25,8337,153433693,11379.2
207,10-Nov-14,8337.8,8383.05,8304.45,8344.25,130749013,6932.28
208,11-Nov-14,8354.1,8378.7,8321.85,8362.65,122010840,6559.73
209,12-Nov-14,8378.9,8415.05,8370.5,8383.3,125243330,6535.31
210,13-Nov-14,8405.25,8408,8320.35,8357.85,127361048,6511.91
211,14-Nov-14,8360.7,8400.65,8346.8,8389.9,146768580,7849.19
212,17-Nov-14,8378.4,8438.1,8349.1,8430.75,113879138,7270.5
213,18-Nov-14,8441.25,8454.5,8407.25,8425.9,134678948,7323.18
214,19-Nov-14,8440.65,8455.65,8360.5,8382.3,125399132,6997.58
215,20-Nov-14,8406.5,8410.85,8353.15,8401.9,122775989,6218.34
216,21-Nov-14,8408.2,8489.8,8398.6,8477.35,137015453,7889.99
217,24-Nov-14,8490.95,8534.65,8490.8,8530.15,140657508,7180.3
218,25-Nov-14,8530.8,8535.35,8429.45,8463.1,271914173,12210.62
219,26-Nov-14,8450.3,8500.3,8438.65,8475.75,151922494,7123.76
220,27-Nov-14,8477.8,8506.75,8456.35,8494.2,194298604,9556.05
221,28-Nov-14,8516.8,8617,8516.25,8588.25,197214619,10053.47
222,01-Dec-14,8605.1,8623,8545.15,8555.9,151990638,8565.14
223,02-Dec-14,8535.45,8560.2,8504.65,8524.7,137386984,6753.13
224,03-Dec-14,8528.7,8546.95,8508.35,8537.65,153199341,7664.86
225,04-Dec-14,8582.4,8626.95,8526.4,8564.4,143477230,6687.99
226,05-Dec-14,8584.25,8588.35,8523.9,8538.3,143345553,6452.4
227,08-Dec-14,8538.65,8546.35,8432.25,8438.25,163819529,13929.39
228,09-Dec-14,8439.3,8444.5,8330.5,8340.7,146266705,7115.31
229,10-Dec-14,8318.05,8376.8,8317,8355.65,136656345,6738.18
230,11-Dec-14,8338.85,8348.3,8272.4,8292.9,133862999,6718.85
231,12-Dec-14,8302,8321.9,8216.3,8224.1,138080911,6894.03
232,15-Dec-14,8160.75,8242.4,8152.5,8219.6,137140608,6720.94
233,16-Dec-14,8172.6,8189.35,8052.6,8067.6,197337631,8920.29
234,17-Dec-14,8041.2,8082,7961.35,8029.8,216216145,9966.02
235,18-Dec-14,8138.9,8174.3,8084.9,8159.3,162112021,7352.6
236,19-Dec-14,8230.45,8263.45,8208.6,8225.2,174796496,8246.76
237,22-Dec-14,8255,8330.95,8228.2,8324,139159658,5745.04
238,23-Dec-14,8324.6,8364.75,8252.85,8267,132190368,5629.52
239,24-Dec-14,8272.05,8286.4,8155.25,8174.1,221905876,11229.76
240,26-Dec-14,8204.8,8234.55,8147.95,8200.7,75528707,2995.12
241,29-Dec-14,8214.7,8279.15,8214.7,8246.3,82086035,3340.07
242,30-Dec-14,8260.3,8268.25,8220.55,8248.25,77695770,3460.46
243,31-Dec-14,8243.9,8291,8243.75,8282.7,84532600,4221.32
244,01-Jan-15,8272.8,8294.7,8248.75,8284,56560411,2321.88
245,02-Jan-15,8288.7,8410.6,8288.7,8395.45,101887024,4715.72
246,05-Jan-15,8407.95,8445.6,8363.9,8378.4,118160545,5525.52
247,06-Jan-15,8325.3,8327.85,8111.35,8127.35,172799618,8089.19
248,07-Jan-15,8118.65,8151.2,8065.45,8102.1,164075424,7464.33
249,08-Jan-15,8191.4,8243.5,8167.3,8234.6,143802802,8147.4
250,09-Jan-15,8285.45,8303.3,8190.8,8284.5,152612528,9305.95
251,12-Jan-15,8291.35,8332.6,8245.6,8323,103153908,5437.76
252,13-Jan-15,8346.15,8356.65,8267.9,8299.4,129561892,6499.2
253,14-Jan-15,8307.25,8326.45,8236.65,8277.55,150621631,7020.91
254,15-Jan-15,8424.5,8527.1,8380.55,8494.15,232138802,10725.62
255,16-Jan-15,8504.05,8530.75,8452.25,8513.8,181365905,8690.54
256,19-Jan-15,8550.05,8570.95,8531.5,8550.7,129346422,6292.59
257,20-Jan-15,8575.1,8707.9,8574.5,8695.6,158713840,7838.19
258,21-Jan-15,8719.65,8741.85,8689.6,8729.5,191651012,9735.99
259,22-Jan-15,8745.85,8774.15,8727,8761.4,180912372,9025.95
260,23-Jan-15,8827.95,8866.4,8795.4,8835.6,197124706,9716.57
261,27-Jan-15,8871.35,8925.05,8825.45,8910.5,192010521,9988.36
262,28-Jan-15,8902.75,8985.05,8874.05,8914.3,190805926,10313.46
263,29-Jan-15,8901.5,8966.65,8861.25,8952.35,264245843,13427.54
264,30-Jan-15,8996.6,8996.6,8775.1,8808.9,275587957,12385.18
265,02-Feb-15,8802.5,8840.8,8751.1,8797.4,216556534,10430.34
266,03-Feb-15,8823.15,8837.3,8726.65,8756.55,208672175,9888.1
267,04-Feb-15,8789.15,8792.85,8704.4,8723.7,201252375,8707.82
268,05-Feb-15,8733.1,8838.45,8683.65,8711.7,179008853,9126.1
269,06-Feb-15,8696.85,8726.2,8645.55,8661.05,176554075,7912.1
270,09-Feb-15,8584.4,8605.55,8516.35,8526.35,151329604,6863.17
271,10-Feb-15,8478.1,8646.25,8470.5,8565.55,202294693,9965.76
272,11-Feb-15,8603.3,8651.95,8593.65,8627.4,166560867,7602.46
273,12-Feb-15,8676.95,8732.55,8599.25,8711.55,163681352,7669.87
274,13-Feb-15,8741.5,8822.1,8729.65,8805.5,228807812,10248.41
275,16-Feb-15,8831.4,8870.1,8793.4,8809.35,140637331,7047.32
276,18-Feb-15,8811.55,8894.3,8808.9,8869.1,152152801,10153.74
277,19-Feb-15,8883.05,8913.45,8794.45,8895.3,219867400,9794.26
278,20-Feb-15,8895.5,8899.95,8816.3,8833.6,203714864,8193.56
279,23-Feb-15,8856.85,8869,8736.1,8754.95,143932325,7171.05
280,24-Feb-15,8772.9,8800.5,8726.75,8762.1,154368611,7413.31
281,25-Feb-15,8801.9,8840.65,8751.4,8767.25,139406599,6986.78
282,26-Feb-15,8779,8786.05,8669.45,8683.85,224185492,10531.16
283,27-Feb-15,8729.5,8856.95,8717.45,8844.6,257226273,11924.49
284,28-Feb-15,8913.05,8941.1,8751.35,8901.85,246453954,10064.41
285,02-Mar-15,8953.85,8972.35,8885.45,8956.75,224772586,11525.5
286,03-Mar-15,8962.85,9008.4,8925.55,8996.25,183251960,9033.61
287,04-Mar-15,9109.15,9119.2,8893.95,8922.65,256060375,12130.98
288,05-Mar-15,8929.4,8957.55,8849.35,8937.75,165081476,8250.55
289,09-Mar-15,8891.15,8891.3,8740.45,8756.75,160332840,8132.43
290,10-Mar-15,8769.75,8778,8677.35,8712.05,168916337,8402.33
291,11-Mar-15,8728.75,8755.6,8682.35,8699.95,178053293,8259.67
292,12-Mar-15,8740.65,8787.2,8732.9,8776,179337979,8184.46
293,13-Mar-15,8844.05,8849.75,8631.75,8647.75,184665971,8121.26
294,16-Mar-15,8656.75,8663.55,8612,8633.15,168438040,7559.94
295,17-Mar-15,8689.1,8742.55,8630.8,8723.3,182504639,8086.26
296,18-Mar-15,8742.9,8747.25,8664,8685.9,161153533,8227.5
297,19-Mar-15,8749.45,8788.2,8614.65,8634.65,168628424,8460.35
298,20-Mar-15,8627.9,8627.9,8553,8570.9,179982752,8484.23
299,23-Mar-15,8591.55,8608.35,8540.55,8550.9,155425780,6195.45
300,24-Mar-15,8537.05,8627.75,8535.85,8542.95,161465466,7913.26
301,25-Mar-15,8568.9,8573.75,8516.55,8530.8,165952155,8200.05
302,26-Mar-15,8474.95,8499.45,8325.35,8342.15,288758332,13667.31
303,27-Mar-15,8396,8413.2,8269.15,8341.4,198979321,9528.86
304,30-Mar-15,8390.95,8504.55,8380.75,8492.3,142061290,6713.2
305,31-Mar-15,8527.6,8550.45,8454.15,8491,177059509,8108.36
306,01-Apr-15,8483.7,8603.4,8464.75,8586.25,136312446,6863.03
307,06-Apr-15,8615.8,8667.55,8573.75,8659.9,150877855,7633
308,07-Apr-15,8684.45,8693.6,8586.85,8660.3,141765381,7287.01
309,08-Apr-15,8698.95,8730.5,8679.8,8714.4,149617725,7889.65
310,09-Apr-15,8756.2,8785.5,8682.45,8778.3,158192905,8391.19
311,10-Apr-15,8774.35,8787.4,8733.6,8780.35,141464357,7119.96
312,13-Apr-15,8801.75,8841.65,8762.1,8834,122833397,6242.71
313,15-Apr-15,8844.75,8844.8,8722.4,8750.2,170458015,8908.26
314,16-Apr-15,8757.05,8760,8645.65,8706.7,149337173,8268.33
315,17-Apr-15,8698.05,8699.85,8596.7,8606,155474164,9134.37
316,20-Apr-15,8618.8,8619.95,8422.75,8448.1,154492312,8930.38
317,21-Apr-15,8416.1,8469.35,8352.7,8377.75,418959074,32873.45
318,22-Apr-15,8400.4,8449.95,8284.7,8429.7,176926942,10002.48
319,23-Apr-15,8478.2,8504.95,8361.85,8398.3,169840748,9801.34
320,24-Apr-15,8405.7,8413.3,8273.35,8305.25,177843969,10984.24
321,27-Apr-15,8330.55,8334.45,8202.35,8213.8,174706337,10143.36
322,28-Apr-15,8215.55,8308,8185.15,8285.6,183754628,9560.13
323,29-Apr-15,8274.8,8308.2,8219.2,8239.75,174958511,8571.95
324,30-Apr-15,8224.5,8229.4,8144.75,8181.5,281696257,14755.35
325,04-May-15,8230.05,8346,8220.45,8331.95,136913823,7856.18
326,05-May-15,8338.4,8355.65,8280.6,8324.8,156019941,8138.54
327,06-May-15,8316.6,8331.95,8083,8097,212509839,10894.12
328,07-May-15,8077,8122.6,7997.15,8057.3,166563657,8443.96
329,08-May-15,8131.5,8224.95,8123.45,8191.5,188776090,8961.33
330,11-May-15,8243.2,8332.75,8224.65,8325.25,197882948,8396.12
331,12-May-15,8326.15,8326.65,8115.3,8126.95,178753978,8779.53
332,13-May-15,8181.55,8254.95,8089.8,8235.45,175015183,8391.93
333,14-May-15,8232.45,8236.25,8137.3,8224.2,138964395,6763.72
334,15-May-15,8240.3,8279.2,8212.2,8262.35,133838055,6463.64
335,18-May-15,8284.95,8384.6,8271.95,8373.65,153340463,7459.18
336,19-May-15,8356.2,8427.8,8335,8365.65,144642344,7266.52
337,20-May-15,8392.65,8440.35,8391.45,8423.25,127388797,6151.44
338,21-May-15,8434.5,8446.35,8382.5,8421,148189485,7641.6
339,22-May-15,8432.5,8489.55,8420.6,8458.95,193080657,8261.69
340,25-May-15,8438.15,8441.95,8364.15,8370.25,125051166,5555.29
341,26-May-15,8377.1,8378.9,8320.05,8339.35,120428892,5908.3
342,27-May-15,8302.75,8342.85,8277.95,8334.6,170583401,8131.59
343,28-May-15,8345.7,8364.5,8270.15,8319,239549060,11449.91
344,29-May-15,8327.1,8443.9,8305.7,8433.65,375232198,20736.2
345,01-Jun-15,8417.25,8467.15,8405.4,8433.4,125990614,7254.01
346,02-Jun-15,8442.8,8445.35,8226.05,8236.45,151337661,8083.17
347,03-Jun-15,8232.45,8236.7,8094.15,8135.1,176661646,7920.26
348,04-Jun-15,8155.15,8160.05,8056.75,8130.65,159470840,7560.49
349,05-Jun-15,8119.15,8191,8100.15,8114.7,167055308,7588.4
350,08-Jun-15,8124.35,8131,8030.55,8044.15,140075743,6230.61
351,09-Jun-15,8026.5,8057.15,8005.15,8022.4,140217686,6442.05
352,10-Jun-15,8024.15,8152.25,8023.8,8124.45,141030200,6790.27
353,11-Jun-15,8157.3,8163.05,7958.25,7965.35,171348959,7868.44
354,12-Jun-15,7959.85,7995.6,7940.3,7982.9,140839875,6737.25
355,15-Jun-15,7986.6,8057.7,7944.85,8013.9,137116389,6129.12
356,16-Jun-15,8004.2,8061.85,7952.35,8047.3,127809460,5923.8
357,17-Jun-15,8084.2,8136.85,8048.95,8091.55,157205716,7878.66
358,18-Jun-15,8113.7,8186.9,8101.8,8174.6,149266110,7767.77
359,19-Jun-15,8201.15,8250.8,8195.65,8224.95,151575997,7722.05
360,22-Jun-15,8259.3,8369.45,8257.4,8353.1,126542473,6163.02
361,23-Jun-15,8377.45,8398.45,8334.95,8381.55,135844708,6437.33
362,24-Jun-15,8399.4,8421.35,8338.9,8360.85,134062733,7175.22
