Date,ret_1d,ret_5d,vol_5d,vol_10d,mom_10d,mom_20d,drawdown_20d,Risk_Off,hawkish_share,dovish_share,neutral_share,macro_tone_signal,macro_tone_signal_ema
2025-01-17,-0.0046585849226571,-0.0097432942833365,0.0080061344524457,0.0074765474340694,-0.0333913079702975,-0.0312503914127181,-0.0407401818621543,0,0.3619456366237482,0.2818311874105865,0.3562231759656652,0.0801144492131616,0.0813211309408408
2025-01-20,0.0061004516618397,0.0112102815781893,0.0041741678347361,0.0064845182098972,-0.0114879499323552,-0.0102914679385267,-0.0348882637104592,0,0.3619456366237482,0.2818311874105865,0.3562231759656652,0.0801144492131616,0.0813211309408408
2025-01-21,-0.0137118624101778,-0.0065326058582027,0.008051437686435,0.0073057626381068,-0.0288195074215767,-0.0306818588457676,-0.0481217430489092,0,0.3619456366237482,0.2818311874105865,0.3562231759656652,0.0801144492131616,0.0813211309408408
2025-01-22,0.0056765249417471,-0.0024921165543743,0.0086037398290835,0.0077836326953534,-0.0225252702209258,-0.0241195398617226,-0.0427183823818196,0,0.3619456366237482,0.2818311874105865,0.3562231759656652,0.0801144492131616,0.0813211309408408
2025-01-23,0.0021593281898135,-0.0045663569522731,0.0083649029335266,0.0077122930763233,-0.0136505642573269,-0.0229408594453942,-0.0406512971993063,0,0.3619456366237482,0.2818311874105865,0.3562231759656652,0.0801144492131616,0.0813211309408408
2025-01-24,-0.0048760307429104,-0.0047838229209764,0.008389942428764,0.0077492522369822,-0.0144805070097945,-0.0302854695255612,-0.0453291109673338,0,0.3619456366237482,0.2818311874105865,0.3562231759656652,0.0801144492131616,0.0813211309408408
2025-01-27,-0.011391292297832,-0.0220863363282964,0.008372165000473,0.00715862416796,-0.0111236487993779,-0.0345000401777972,-0.0562040461125362,1,0.3619456366237482,0.2818311874105865,0.3562231759656652,0.0801144492131616,0.0813211309408408
2025-01-28,0.0056112470240896,-0.0029272974833494,0.0074215600012242,0.0073099343417187,-0.0094407804608636,-0.0290782751387196,-0.0509081738749372,1,0.3619456366237482,0.2818311874105865,0.3562231759656652,0.0801144492131616,0.0813211309408408
2025-01-29,0.0089666663036731,0.000334695869421,0.0082164917596195,0.0079367862222263,-0.0021582547860701,-0.024419931853312,-0.0423979841785301,1,0.3619456366237482,0.2818311874105865,0.3562231759656652,0.0801144492131616,0.0813211309408408
2025-01-30,0.0037300706727512,0.0019025785002166,0.0083442342605598,0.0079062822697806,-0.0026724663046182,-0.0388260609831471,-0.0314625230423145,1,0.3619456366237482,0.2818311874105865,0.3562231759656652,0.0801144492131616,0.0813211309408408
