Date,ret_1d,ret_5d,vol_5d,vol_10d,mom_10d,mom_20d,drawdown_20d,Risk_Off
2014-03-07,0.019605852073455443,0.03978046662790047,0.010705585552386982,0.007472226960778826,0.0714444015792628,0.08123353710054171,0.0,0
2014-03-10,0.001624110378218635,0.050759871091144326,0.007001524329728594,0.007530144329095323,0.062026334386600546,0.07818478691120201,0.0,0
2014-03-11,-0.0038777773528625437,0.03397137163680242,0.009085131609500226,0.008165640611502968,0.052666461906532236,0.07573367253384422,-0.0038777773528625437,0
2014-03-12,0.0007678250587386248,0.02974568035837022,0.009472908304521669,0.008237968722376017,0.05110442657720493,0.07491711613637486,-0.0031129297487476615,0
2014-03-13,-0.0036520431493500816,0.014364606359794863,0.009671179967572427,0.008658981927675235,0.04076104379047263,0.06724194608809997,-0.006753604344334363,0
2014-03-14,0.0017095070151391667,-0.003439743206698709,0.0028360855606125155,0.008653568091102065,0.036203888831359166,0.08383463031777505,-0.005055642663199356,0
2014-03-18,0.0019141477814335062,-0.003151172128953328,0.0028974415975431527,0.00753150517265387,0.04744874587113923,0.07742607487992581,-0.003151172128953328,0
2014-03-19,0.001135552776349913,0.0018658148927348517,0.002296721219784802,0.007090139933423186,0.03590057082066389,0.07421829977112937,-0.002019197674863249,0
2014-03-20,-0.006276775929062395,-0.005186515060841668,0.003717062505416275,0.007709553166789104,0.02440488887835479,0.05810252811281025,-0.008283299552564127,0
2014-03-21,0.0015578966852276555,1.540096410024283e-05,0.0035249286851838507,0.007028853649135795,0.01438022855268195,0.05533298118727403,-0.006738307392252119,0
2014-03-22,0.0002618123575433007,-0.001429845330709445,0.0034077415430377764,0.0029633461522581605,-0.004864670236645163,0.06623217788868008,-0.0064782592068530764,0
2014-03-24,0.013641472539992927,0.010258338256619703,0.007210624949054729,0.0053713819996232155,0.007074840338062716,0.0695400011372036,0.0,0
2014-03-25,0.0009493430546061443,0.010070431710363925,0.007217097002502936,0.005123652998215294,0.011955036164560395,0.06525112752784468,0.0,0
2014-03-26,0.001767897112940453,0.018247443352716886,0.005624079254034091,0.005124021317835663,0.012966287652104613,0.06473334892460536,0.0,0
2014-03-27,0.006112339806707778,0.02287777983120809,0.005572008167260296,0.005004272735270884,0.022893533135174282,0.06458774123228816,0.0,1
